"relocating_to","nationality","visa_type","salary_range","family_relocating"
"DE-STUTTGART","GB","job seeker","0-30.000","Yes"
"DE-DUESSELDORF","GB","job seeker","0-30.000","Yes"
"DE-FRANKFURT","GB","job seeker","0-30.000","Yes"
"DE-DORTMUND","GB","job seeker","0-30.000","Yes"
"DE-HAMBURG","Switzerland","job seeker","0-30.000","Yes"
"DE-BERLIN","Switzerland","job seeker","0-30.000","Yes"
"DE-MUENCHEN","Switzerland","job seeker","0-30.000","Yes"
"DE-KOELN","Switzerland","job seeker","0-30.000","Yes"
"DE-BONN","Switzerland","job seeker","0-30.000","Yes"
"DE-STUTTGART","Switzerland","job seeker","0-30.000","Yes"
"DE-DUESSELDORF","Switzerland","job seeker","0-30.000","Yes"
"DE-FRANKFURT","Switzerland","job seeker","0-30.000","Yes"
"DE-DORTMUND","Switzerland","job seeker","0-30.000","Yes"
"DE-HAMBURG","Third-country","valid rp","0-30.000","Yes"
"DE-BERLIN","Third-country","valid rp","0-30.000","Yes"
"DE-MUENCHEN","Third-country","valid rp","0-30.000","Yes"
"DE-KOELN","Third-country","valid rp","0-30.000","Yes"
"DE-BONN","Third-country","valid rp","0-30.000","Yes"
"DE-STUTTGART","Third-country","valid rp","0-30.000","Yes"
"DE-DUESSELDORF","Third-country","valid rp","0-30.000","Yes"
"DE-FRANKFURT","Third-country","valid rp","0-30.000","Yes"
"DE-DORTMUND","Third-country","valid rp","0-30.000","Yes"
"DE-HAMBURG","EU","valid rp","0-30.000","Yes"
"DE-BERLIN","EU","valid rp","0-30.000","Yes"
"DE-MUENCHEN","EU","valid rp","0-30.000","Yes"
"DE-KOELN","EU","valid rp","0-30.000","Yes"
"DE-BONN","EU","valid rp","0-30.000","Yes"
"DE-STUTTGART","EU","valid rp","0-30.000","Yes"
"DE-DUESSELDORF","EU","valid rp","0-30.000","Yes"
"DE-FRANKFURT","EU","valid rp","0-30.000","Yes"
"DE-DORTMUND","EU","valid rp","0-30.000","Yes"
"DE-HAMBURG","Privileged","valid rp","0-30.000","Yes"
"DE-BERLIN","Privileged","valid rp","0-30.000","Yes"
"DE-MUENCHEN","Privileged","valid rp","0-30.000","Yes"
"DE-KOELN","Privileged","valid rp","0-30.000","Yes"
"DE-BONN","Privileged","valid rp","0-30.000","Yes"
"DE-STUTTGART","Privileged","valid rp","0-30.000","Yes"
"DE-DUESSELDORF","Privileged","valid rp","0-30.000","Yes"
"DE-FRANKFURT","Privileged","valid rp","0-30.000","Yes"
"DE-DORTMUND","Privileged","valid rp","0-30.000","Yes"
"DE-HAMBURG","GB","valid rp","0-30.000","Yes"
"DE-BERLIN","GB","valid rp","0-30.000","Yes"
"DE-MUENCHEN","GB","valid rp","0-30.000","Yes"
"DE-KOELN","GB","valid rp","0-30.000","Yes"
"DE-BONN","GB","valid rp","0-30.000","Yes"
"DE-STUTTGART","GB","valid rp","0-30.000","Yes"
"DE-DUESSELDORF","GB","valid rp","0-30.000","Yes"
"DE-FRANKFURT","GB","valid rp","0-30.000","Yes"
"DE-DORTMUND","GB","valid rp","0-30.000","Yes"
"DE-HAMBURG","Switzerland","valid rp","0-30.000","Yes"
"DE-BERLIN","Switzerland","valid rp","0-30.000","Yes"
"DE-MUENCHEN","Switzerland","valid rp","0-30.000","Yes"
"DE-KOELN","Switzerland","valid rp","0-30.000","Yes"
"DE-BONN","Switzerland","valid rp","0-30.000","Yes"
"DE-STUTTGART","Switzerland","valid rp","0-30.000","Yes"
"DE-DUESSELDORF","Switzerland","valid rp","0-30.000","Yes"
"DE-FRANKFURT","Switzerland","valid rp","0-30.000","Yes"
"DE-DORTMUND","Switzerland","valid rp","0-30.000","Yes"
"DE-HAMBURG","Third-country","blue card","0-30.000","Yes"
"DE-BERLIN","Third-country","blue card","0-30.000","Yes"
"DE-MUENCHEN","Third-country","blue card","0-30.000","Yes"
"DE-KOELN","Third-country","blue card","0-30.000","Yes"
"DE-BONN","Third-country","blue card","0-30.000","Yes"
"DE-STUTTGART","Third-country","blue card","0-30.000","Yes"
"DE-DUESSELDORF","Third-country","blue card","0-30.000","Yes"
"DE-FRANKFURT","Third-country","blue card","0-30.000","Yes"
"DE-DORTMUND","Third-country","blue card","0-30.000","Yes"
"DE-HAMBURG","EU","blue card","0-30.000","Yes"
"DE-BERLIN","EU","blue card","0-30.000","Yes"
"DE-MUENCHEN","EU","blue card","0-30.000","Yes"
"DE-KOELN","EU","blue card","0-30.000","Yes"
"DE-BONN","EU","blue card","0-30.000","Yes"
"DE-STUTTGART","EU","blue card","0-30.000","Yes"
"DE-DUESSELDORF","EU","blue card","0-30.000","Yes"
"DE-FRANKFURT","EU","blue card","0-30.000","Yes"
"DE-DORTMUND","EU","blue card","0-30.000","Yes"
"DE-HAMBURG","Privileged","blue card","0-30.000","Yes"
"DE-BERLIN","Privileged","blue card","0-30.000","Yes"
"DE-MUENCHEN","Privileged","blue card","0-30.000","Yes"
"DE-KOELN","Privileged","blue card","0-30.000","Yes"
"DE-BONN","Privileged","blue card","0-30.000","Yes"
"DE-STUTTGART","Privileged","blue card","0-30.000","Yes"
"DE-DUESSELDORF","Privileged","blue card","0-30.000","Yes"
"DE-FRANKFURT","Privileged","blue card","0-30.000","Yes"
"DE-DORTMUND","Privileged","blue card","0-30.000","Yes"
"DE-HAMBURG","GB","blue card","0-30.000","Yes"
"DE-BERLIN","GB","blue card","0-30.000","Yes"
"DE-MUENCHEN","GB","blue card","0-30.000","Yes"
"DE-KOELN","GB","blue card","0-30.000","Yes"
"DE-BONN","GB","blue card","0-30.000","Yes"
"DE-STUTTGART","GB","blue card","0-30.000","Yes"
"DE-DUESSELDORF","GB","blue card","0-30.000","Yes"
"DE-FRANKFURT","GB","blue card","0-30.000","Yes"
"DE-DORTMUND","GB","blue card","0-30.000","Yes"
"DE-HAMBURG","Switzerland","blue card","0-30.000","Yes"
"DE-BERLIN","Switzerland","blue card","0-30.000","Yes"
"DE-MUENCHEN","Switzerland","blue card","0-30.000","Yes"
"DE-KOELN","Switzerland","blue card","0-30.000","Yes"
"DE-BONN","Switzerland","blue card","0-30.000","Yes"
"DE-STUTTGART","Switzerland","blue card","0-30.000","Yes"
"DE-DUESSELDORF","Switzerland","blue card","0-30.000","Yes"
"DE-FRANKFURT","Switzerland","blue card","0-30.000","Yes"
"DE-DORTMUND","Switzerland","blue card","0-30.000","Yes"
"DE-HAMBURG","Third-country","none","0-30.000","Yes"
"DE-BERLIN","Third-country","none","0-30.000","Yes"
"DE-MUENCHEN","Third-country","none","0-30.000","Yes"
"DE-KOELN","Third-country","none","0-30.000","Yes"
"DE-BONN","Third-country","none","0-30.000","Yes"
"DE-STUTTGART","Third-country","none","0-30.000","Yes"
"DE-DUESSELDORF","Third-country","none","0-30.000","Yes"
"DE-FRANKFURT","Third-country","none","0-30.000","Yes"
"DE-DORTMUND","Third-country","none","0-30.000","Yes"
"DE-HAMBURG","EU","none","0-30.000","Yes"
"DE-BERLIN","EU","none","0-30.000","Yes"
"DE-MUENCHEN","EU","none","0-30.000","Yes"
"DE-KOELN","EU","none","0-30.000","Yes"
"DE-BONN","EU","none","0-30.000","Yes"
"DE-STUTTGART","EU","none","0-30.000","Yes"
"DE-DUESSELDORF","EU","none","0-30.000","Yes"
"DE-FRANKFURT","EU","none","0-30.000","Yes"
"DE-DORTMUND","EU","none","0-30.000","Yes"
"DE-HAMBURG","Privileged","none","0-30.000","Yes"
"DE-BERLIN","Privileged","none","0-30.000","Yes"
"DE-MUENCHEN","Privileged","none","0-30.000","Yes"
"DE-KOELN","Privileged","none","0-30.000","Yes"
"DE-BONN","Privileged","none","0-30.000","Yes"
"DE-STUTTGART","Privileged","none","0-30.000","Yes"
"DE-DUESSELDORF","Privileged","none","0-30.000","Yes"
"DE-FRANKFURT","Privileged","none","0-30.000","Yes"
"DE-DORTMUND","Privileged","none","0-30.000","Yes"
"DE-HAMBURG","GB","none","0-30.000","Yes"
"DE-BERLIN","GB","none","0-30.000","Yes"
"DE-MUENCHEN","GB","none","0-30.000","Yes"
"DE-KOELN","GB","none","0-30.000","Yes"
"DE-BONN","GB","none","0-30.000","Yes"
"DE-STUTTGART","GB","none","0-30.000","Yes"
"DE-DUESSELDORF","GB","none","0-30.000","Yes"
"DE-FRANKFURT","GB","none","0-30.000","Yes"
"DE-DORTMUND","GB","none","0-30.000","Yes"
"DE-HAMBURG","Switzerland","none","0-30.000","Yes"
"DE-BERLIN","Switzerland","none","0-30.000","Yes"
"DE-MUENCHEN","Switzerland","none","0-30.000","Yes"
"DE-KOELN","Switzerland","none","0-30.000","Yes"
"DE-BONN","Switzerland","none","0-30.000","Yes"
"DE-STUTTGART","Switzerland","none","0-30.000","Yes"
"DE-DUESSELDORF","Switzerland","none","0-30.000","Yes"
"DE-FRANKFURT","Switzerland","none","0-30.000","Yes"
"DE-DORTMUND","Switzerland","none","0-30.000","Yes"
"DE-HAMBURG","Third-country","visa","30.001-40.560","Yes"
"DE-BERLIN","Third-country","visa","30.001-40.560","Yes"
"DE-MUENCHEN","Third-country","visa","30.001-40.560","Yes"
"DE-KOELN","Third-country","visa","30.001-40.560","Yes"
"DE-BONN","Third-country","visa","30.001-40.560","Yes"
"DE-STUTTGART","Third-country","visa","30.001-40.560","Yes"
"DE-DUESSELDORF","Third-country","visa","30.001-40.560","Yes"
"DE-FRANKFURT","Third-country","visa","30.001-40.560","Yes"
"DE-DORTMUND","Third-country","visa","30.001-40.560","Yes"
"DE-HAMBURG","EU","visa","30.001-40.560","Yes"
"DE-BERLIN","EU","visa","30.001-40.560","Yes"
"DE-MUENCHEN","EU","visa","30.001-40.560","Yes"
"DE-KOELN","EU","visa","30.001-40.560","Yes"
"DE-BONN","EU","visa","30.001-40.560","Yes"
"DE-STUTTGART","EU","visa","30.001-40.560","Yes"
"DE-DUESSELDORF","EU","visa","30.001-40.560","Yes"
"DE-FRANKFURT","EU","visa","30.001-40.560","Yes"
"DE-DORTMUND","EU","visa","30.001-40.560","Yes"
"DE-HAMBURG","Privileged","visa","30.001-40.560","Yes"
"DE-BERLIN","Privileged","visa","30.001-40.560","Yes"
"DE-MUENCHEN","Privileged","visa","30.001-40.560","Yes"
"DE-KOELN","Privileged","visa","30.001-40.560","Yes"
"DE-BONN","Privileged","visa","30.001-40.560","Yes"
"DE-STUTTGART","Privileged","visa","30.001-40.560","Yes"
"DE-DUESSELDORF","Privileged","visa","30.001-40.560","Yes"
"DE-FRANKFURT","Privileged","visa","30.001-40.560","Yes"
"DE-DORTMUND","Privileged","visa","30.001-40.560","Yes"
"DE-HAMBURG","GB","visa","30.001-40.560","Yes"
"DE-BERLIN","GB","visa","30.001-40.560","Yes"
"DE-MUENCHEN","GB","visa","30.001-40.560","Yes"
"DE-KOELN","GB","visa","30.001-40.560","Yes"
"DE-BONN","GB","visa","30.001-40.560","Yes"
"DE-STUTTGART","GB","visa","30.001-40.560","Yes"
"DE-DUESSELDORF","GB","visa","30.001-40.560","Yes"
"DE-FRANKFURT","GB","visa","30.001-40.560","Yes"
"DE-DORTMUND","GB","visa","30.001-40.560","Yes"
"DE-HAMBURG","Switzerland","visa","30.001-40.560","Yes"
"DE-BERLIN","Switzerland","visa","30.001-40.560","Yes"
"DE-MUENCHEN","Switzerland","visa","30.001-40.560","Yes"
"DE-KOELN","Switzerland","visa","30.001-40.560","Yes"
"DE-BONN","Switzerland","visa","30.001-40.560","Yes"
"DE-STUTTGART","Switzerland","visa","30.001-40.560","Yes"
"DE-DUESSELDORF","Switzerland","visa","30.001-40.560","Yes"
"DE-FRANKFURT","Switzerland","visa","30.001-40.560","Yes"
"DE-DORTMUND","Switzerland","visa","30.001-40.560","Yes"
"DE-HAMBURG","Third-country","job seeker","30.001-40.560","Yes"
"DE-BERLIN","Third-country","job seeker","30.001-40.560","Yes"
"DE-MUENCHEN","Third-country","job seeker","30.001-40.560","Yes"
"DE-KOELN","Third-country","job seeker","30.001-40.560","Yes"
"DE-BONN","Third-country","job seeker","30.001-40.560","Yes"
"DE-STUTTGART","Third-country","job seeker","30.001-40.560","Yes"
"DE-DUESSELDORF","Third-country","job seeker","30.001-40.560","Yes"
"DE-FRANKFURT","Third-country","job seeker","30.001-40.560","Yes"
"DE-DORTMUND","Third-country","job seeker","30.001-40.560","Yes"
"DE-HAMBURG","EU","job seeker","30.001-40.560","Yes"
"DE-BERLIN","EU","job seeker","30.001-40.560","Yes"
"DE-MUENCHEN","EU","job seeker","30.001-40.560","Yes"
"DE-KOELN","EU","job seeker","30.001-40.560","Yes"
"DE-BONN","EU","job seeker","30.001-40.560","Yes"
"DE-STUTTGART","EU","job seeker","30.001-40.560","Yes"
"DE-DUESSELDORF","EU","job seeker","30.001-40.560","Yes"
"DE-FRANKFURT","EU","job seeker","30.001-40.560","Yes"
"DE-DORTMUND","EU","job seeker","30.001-40.560","Yes"
"DE-HAMBURG","Privileged","job seeker","30.001-40.560","Yes"
"DE-BERLIN","Privileged","job seeker","30.001-40.560","Yes"
"DE-MUENCHEN","Privileged","job seeker","30.001-40.560","Yes"
"DE-KOELN","Privileged","job seeker","30.001-40.560","Yes"
"DE-BONN","Privileged","job seeker","30.001-40.560","Yes"
"DE-STUTTGART","Privileged","job seeker","30.001-40.560","Yes"
"DE-DUESSELDORF","Privileged","job seeker","30.001-40.560","Yes"
"DE-FRANKFURT","Privileged","job seeker","30.001-40.560","Yes"
"DE-DORTMUND","Privileged","job seeker","30.001-40.560","Yes"
"DE-HAMBURG","GB","job seeker","30.001-40.560","Yes"
"DE-BERLIN","GB","job seeker","30.001-40.560","Yes"
"DE-MUENCHEN","GB","job seeker","30.001-40.560","Yes"
"DE-KOELN","GB","job seeker","30.001-40.560","Yes"
"DE-BONN","GB","job seeker","30.001-40.560","Yes"
"DE-STUTTGART","GB","job seeker","30.001-40.560","Yes"
"DE-DUESSELDORF","GB","job seeker","30.001-40.560","Yes"
"DE-FRANKFURT","GB","job seeker","30.001-40.560","Yes"
"DE-DORTMUND","GB","job seeker","30.001-40.560","Yes"
"DE-HAMBURG","Switzerland","job seeker","30.001-40.560","Yes"
"DE-BERLIN","Switzerland","job seeker","30.001-40.560","Yes"
"DE-MUENCHEN","Switzerland","job seeker","30.001-40.560","Yes"
"DE-KOELN","Switzerland","job seeker","30.001-40.560","Yes"
"DE-BONN","Switzerland","job seeker","30.001-40.560","Yes"
"DE-STUTTGART","Switzerland","job seeker","30.001-40.560","Yes"
"DE-DUESSELDORF","Switzerland","job seeker","30.001-40.560","Yes"
"DE-FRANKFURT","Switzerland","job seeker","30.001-40.560","Yes"
"DE-DORTMUND","Switzerland","job seeker","30.001-40.560","Yes"
"DE-HAMBURG","Third-country","valid rp","30.001-40.560","Yes"
"DE-BERLIN","Third-country","valid rp","30.001-40.560","Yes"
"DE-MUENCHEN","Third-country","valid rp","30.001-40.560","Yes"
"DE-KOELN","Third-country","valid rp","30.001-40.560","Yes"
"DE-BONN","Third-country","valid rp","30.001-40.560","Yes"
"DE-STUTTGART","Third-country","valid rp","30.001-40.560","Yes"
"DE-DUESSELDORF","Third-country","valid rp","30.001-40.560","Yes"
"DE-FRANKFURT","Third-country","valid rp","30.001-40.560","Yes"
"DE-DORTMUND","Third-country","valid rp","30.001-40.560","Yes"
"DE-HAMBURG","EU","valid rp","30.001-40.560","Yes"
"DE-BERLIN","EU","valid rp","30.001-40.560","Yes"
"DE-MUENCHEN","EU","valid rp","30.001-40.560","Yes"
"DE-KOELN","EU","valid rp","30.001-40.560","Yes"
"DE-BONN","EU","valid rp","30.001-40.560","Yes"
"DE-STUTTGART","EU","valid rp","30.001-40.560","Yes"
"DE-DUESSELDORF","EU","valid rp","30.001-40.560","Yes"
"DE-FRANKFURT","EU","valid rp","30.001-40.560","Yes"
"DE-DORTMUND","EU","valid rp","30.001-40.560","Yes"
"DE-HAMBURG","Privileged","valid rp","30.001-40.560","Yes"
"DE-BERLIN","Privileged","valid rp","30.001-40.560","Yes"
"DE-MUENCHEN","Privileged","valid rp","30.001-40.560","Yes"
"DE-KOELN","Privileged","valid rp","30.001-40.560","Yes"
"DE-BONN","Privileged","valid rp","30.001-40.560","Yes"
"DE-STUTTGART","Privileged","valid rp","30.001-40.560","Yes"
"DE-DUESSELDORF","Privileged","valid rp","30.001-40.560","Yes"
"DE-FRANKFURT","Privileged","valid rp","30.001-40.560","Yes"
"DE-DORTMUND","Privileged","valid rp","30.001-40.560","Yes"
"DE-HAMBURG","GB","valid rp","30.001-40.560","Yes"
"DE-BERLIN","GB","valid rp","30.001-40.560","Yes"
"DE-MUENCHEN","GB","valid rp","30.001-40.560","Yes"
"DE-KOELN","GB","valid rp","30.001-40.560","Yes"
"DE-BONN","GB","valid rp","30.001-40.560","Yes"
"DE-STUTTGART","GB","valid rp","30.001-40.560","Yes"
"DE-DUESSELDORF","GB","valid rp","30.001-40.560","Yes"
"DE-FRANKFURT","GB","valid rp","30.001-40.560","Yes"
"DE-DORTMUND","GB","valid rp","30.001-40.560","Yes"
"DE-HAMBURG","Switzerland","valid rp","30.001-40.560","Yes"
"DE-BERLIN","Switzerland","valid rp","30.001-40.560","Yes"
"DE-MUENCHEN","Switzerland","valid rp","30.001-40.560","Yes"
"DE-KOELN","Switzerland","valid rp","30.001-40.560","Yes"
"DE-BONN","Switzerland","valid rp","30.001-40.560","Yes"
"DE-STUTTGART","Switzerland","valid rp","30.001-40.560","Yes"
"DE-DUESSELDORF","Switzerland","valid rp","30.001-40.560","Yes"
"DE-FRANKFURT","Switzerland","valid rp","30.001-40.560","Yes"
"DE-DORTMUND","Switzerland","valid rp","30.001-40.560","Yes"
"DE-HAMBURG","Third-country","blue card","30.001-40.560","Yes"
"DE-BERLIN","Third-country","blue card","30.001-40.560","Yes"
"DE-MUENCHEN","Third-country","blue card","30.001-40.560","Yes"
"DE-KOELN","Third-country","blue card","30.001-40.560","Yes"
"DE-BONN","Third-country","blue card","30.001-40.560","Yes"
"DE-STUTTGART","Third-country","blue card","30.001-40.560","Yes"
"DE-DUESSELDORF","Third-country","blue card","30.001-40.560","Yes"
"DE-FRANKFURT","Third-country","blue card","30.001-40.560","Yes"
"DE-DORTMUND","Third-country","blue card","30.001-40.560","Yes"
"DE-HAMBURG","EU","blue card","30.001-40.560","Yes"
"DE-BERLIN","EU","blue card","30.001-40.560","Yes"
"DE-MUENCHEN","EU","blue card","30.001-40.560","Yes"
"DE-KOELN","EU","blue card","30.001-40.560","Yes"
"DE-BONN","EU","blue card","30.001-40.560","Yes"
"DE-STUTTGART","EU","blue card","30.001-40.560","Yes"
"DE-DUESSELDORF","EU","blue card","30.001-40.560","Yes"
"DE-FRANKFURT","EU","blue card","30.001-40.560","Yes"
"DE-DORTMUND","EU","blue card","30.001-40.560","Yes"
"DE-HAMBURG","Privileged","blue card","30.001-40.560","Yes"
"DE-BERLIN","Privileged","blue card","30.001-40.560","Yes"
"DE-MUENCHEN","Privileged","blue card","30.001-40.560","Yes"
"DE-KOELN","Privileged","blue card","30.001-40.560","Yes"
"DE-BONN","Privileged","blue card","30.001-40.560","Yes"
"DE-STUTTGART","Privileged","blue card","30.001-40.560","Yes"
"DE-DUESSELDORF","Privileged","blue card","30.001-40.560","Yes"
"DE-FRANKFURT","Privileged","blue card","30.001-40.560","Yes"
"DE-DORTMUND","Privileged","blue card","30.001-40.560","Yes"
"DE-HAMBURG","GB","blue card","30.001-40.560","Yes"
"DE-BERLIN","GB","blue card","30.001-40.560","Yes"
"DE-MUENCHEN","GB","blue card","30.001-40.560","Yes"
"DE-KOELN","GB","blue card","30.001-40.560","Yes"
"DE-BONN","GB","blue card","30.001-40.560","Yes"
"DE-STUTTGART","GB","blue card","30.001-40.560","Yes"
"DE-DUESSELDORF","GB","blue card","30.001-40.560","Yes"
"DE-FRANKFURT","GB","blue card","30.001-40.560","Yes"
"DE-DORTMUND","GB","blue card","30.001-40.560","Yes"
"DE-HAMBURG","Switzerland","blue card","30.001-40.560","Yes"
"DE-BERLIN","Switzerland","blue card","30.001-40.560","Yes"
"DE-MUENCHEN","Switzerland","blue card","30.001-40.560","Yes"
"DE-KOELN","Switzerland","blue card","30.001-40.560","Yes"
"DE-BONN","Switzerland","blue card","30.001-40.560","Yes"
"DE-STUTTGART","Switzerland","blue card","30.001-40.560","Yes"
"DE-DUESSELDORF","Switzerland","blue card","30.001-40.560","Yes"
"DE-FRANKFURT","Switzerland","blue card","30.001-40.560","Yes"
"DE-DORTMUND","Switzerland","blue card","30.001-40.560","Yes"
"DE-HAMBURG","Third-country","none","30.001-40.560","Yes"
"DE-BERLIN","Third-country","none","30.001-40.560","Yes"
"DE-MUENCHEN","Third-country","none","30.001-40.560","Yes"
"DE-KOELN","Third-country","none","30.001-40.560","Yes"
"DE-BONN","Third-country","none","30.001-40.560","Yes"
"DE-STUTTGART","Third-country","none","30.001-40.560","Yes"
"DE-DUESSELDORF","Third-country","none","30.001-40.560","Yes"
"DE-FRANKFURT","Third-country","none","30.001-40.560","Yes"
"DE-DORTMUND","Third-country","none","30.001-40.560","Yes"
"DE-HAMBURG","EU","none","30.001-40.560","Yes"
"DE-BERLIN","EU","none","30.001-40.560","Yes"
"DE-MUENCHEN","EU","none","30.001-40.560","Yes"
"DE-KOELN","EU","none","30.001-40.560","Yes"
"DE-BONN","EU","none","30.001-40.560","Yes"
"DE-STUTTGART","EU","none","30.001-40.560","Yes"
"DE-DUESSELDORF","EU","none","30.001-40.560","Yes"
"DE-FRANKFURT","EU","none","30.001-40.560","Yes"
"DE-DORTMUND","EU","none","30.001-40.560","Yes"
"DE-HAMBURG","Privileged","none","30.001-40.560","Yes"
"DE-BERLIN","Privileged","none","30.001-40.560","Yes"
"DE-MUENCHEN","Privileged","none","30.001-40.560","Yes"
"DE-KOELN","Privileged","none","30.001-40.560","Yes"
"DE-BONN","Privileged","none","30.001-40.560","Yes"
"DE-STUTTGART","Privileged","none","30.001-40.560","Yes"
"DE-DUESSELDORF","Privileged","none","30.001-40.560","Yes"
"DE-FRANKFURT","Privileged","none","30.001-40.560","Yes"
"DE-DORTMUND","Privileged","none","30.001-40.560","Yes"
"DE-HAMBURG","GB","none","30.001-40.560","Yes"
"DE-BERLIN","GB","none","30.001-40.560","Yes"
"DE-MUENCHEN","GB","none","30.001-40.560","Yes"
"DE-KOELN","GB","none","30.001-40.560","Yes"
"DE-BONN","GB","none","30.001-40.560","Yes"
"DE-STUTTGART","GB","none","30.001-40.560","Yes"
"DE-DUESSELDORF","GB","none","30.001-40.560","Yes"
"DE-FRANKFURT","GB","none","30.001-40.560","Yes"
"DE-DORTMUND","GB","none","30.001-40.560","Yes"
"DE-HAMBURG","Switzerland","none","30.001-40.560","Yes"
"DE-BERLIN","Switzerland","none","30.001-40.560","Yes"
"DE-MUENCHEN","Switzerland","none","30.001-40.560","Yes"
"DE-KOELN","Switzerland","none","30.001-40.560","Yes"
"DE-BONN","Switzerland","none","30.001-40.560","Yes"
"DE-STUTTGART","Switzerland","none","30.001-40.560","Yes"
"DE-DUESSELDORF","Switzerland","none","30.001-40.560","Yes"
"DE-FRANKFURT","Switzerland","none","30.001-40.560","Yes"
"DE-DORTMUND","Switzerland","none","30.001-40.560","Yes"
